customer_id,customer_name,customer_segment
1,Gwendolyn F Tyson,Small Business
2,Pam Gilbert,Corporate
3,Eddie House Mueller,Home Office
4,Max McKenna,Home Office
5,Kara Allison,Small Business
6,Yvonne Fox,Small Business
7,Yvonne Fox,Corporate
8,Alex Harrell,Corporate
9,Lloyd Norris,Corporate
10,Gerald Kearney,Corporate
11,Samantha Weaver,Small Business
12,Leroy Blanchard,Small Business
13,Max Small,Corporate
14,Michele Bullard,Small Business
15,Don Cameron,Small Business
16,Brenda Nelson Blanchard,Corporate
17,Ross Frederick,Corporate
18,Virginia Gay,Small Business
19,Patricia Cole Blair,Small Business
20,Ruby Gibbons,Corporate
21,Brenda May,Consumer
22,Jeanne Werner,Small Business
23,Sylvia Bush,Consumer
24,Danielle Watts,Corporate
25,Angela Howe,Corporate
26,Roger Schwartz,Corporate
27,Joel Buckley,Corporate
28,Erica R Fuller,Corporate
29,Calvin Parsons Walter,Corporate
30,Thelma Abrams,Small Business
31,Judy Barrett,Small Business
32,Valerie Moon,Corporate
33,Edgar McKenzie,Corporate
34,Mark Ritchie,Home Office
35,Alice Coley,Small Business
36,Ruth Lamm,Small Business
37,Edna Monroe Talley,Corporate
38,Peggy Chan,Corporate
39,Vanessa Winstead,Home Office
40,Vanessa Winstead,Corporate
41,Eva Silverman,Small Business
42,Joel Huffman,Small Business
43,Charlie Moore,Consumer
44,Doris Fitzpatrick,Consumer
45,Alexandra Wise,Small Business
46,Howard Rogers,Consumer
47,Juan Justice,Corporate
48,Robin High,Corporate
49,Steve O'Brien,Home Office
50,Roger Meyer,Home Office
51,Allison Kirby,Corporate
52,Amy Shea,Home Office
53,Brian Leach,Small Business
54,Albert Frost,Small Business
55,Seth Merrill,Small Business
56,Ashley Reese,Small Business
57,Tommy Honeycutt,Small Business
58,Johnny Reid,Corporate
59,Adam G Sawyer,Corporate
60,Melvin Duke,Corporate
61,Bernice F Day,Small Business
62,Jeffrey Mueller,Corporate
63,Holly Pate,Corporate
64,Amanda Conner,Corporate
65,Marvin Hunt,Home Office
66,Sheryl Marsh,Home Office
67,Dana Burgess,Corporate
68,Sharon Ellis,Corporate
69,Malcolm Robertson,Corporate
70,Billie Fowler,Consumer
71,Jennifer Siegel,Corporate
72,Carol Sherrill,Home Office
73,Marion Wilcox,Corporate
74,Jane Shah,Consumer
75,Tony Chandler,Small Business
76,Sally House,Corporate
77,Yvonne Clarke,Home Office
78,Lloyd Dickson,Small Business
79,Julie Porter,Small Business
80,Vicki Bond,Corporate
81,Erik Barr,Home Office
82,Pam Bennett,Home Office
83,Theodore Tyson,Home Office
84,Colleen Fletcher,Corporate
85,Hazel Dale,Corporate
86,Sidney Bowling,Home Office
87,Maxine Collier Grady,Small Business
88,Maxine Collier Grady,Consumer
89,Joanna Keith,Small Business
90,Dwight Bishop,Small Business
91,Dennis Welch,Consumer
92,Ray Grady,Consumer
93,Kurt O'Connor,Consumer
94,Benjamin Strauss,Home Office
95,Michael Robbins,Corporate
96,Michael Robbins,Home Office
97,Marjorie Owens,Home Office
98,Carmen McPherson,Consumer
99,Malcolm Floyd,Home Office
100,Russell Chan,Home Office
101,Debra Proctor,Corporate
102,Eileen Fletcher,Corporate
103,Jeremy Pratt,Corporate
104,Patrick Byrne,Small Business
105,Gary Hester,Consumer
106,Eva Simpson,Corporate
107,April Bowers,Corporate
108,Henry O'Connell,Home Office
109,Kara Patton,Corporate
110,Vickie Coates,Home Office
111,Anne Bland,Home Office
112,Danielle Kramer,Home Office
113,Josephine Rao,Corporate
114,Pauline Denton,Small Business
115,Herbert Beard,Home Office
116,Denise McIntosh,Home Office
117,Aaron Dillon,Consumer
118,Marguerite Yu,Home Office
119,Arlene Gibbons,Consumer
120,Kristina Collier,Consumer
121,James Hunter,Consumer
122,Patsy Harmon,Consumer
123,Joe D Dean,Consumer
124,Wesley Tate,Corporate
125,Wesley Tate,Home Office
126,Crystal Floyd,Corporate
127,Crystal Floyd,Home Office
128,Betsy Gibson,Small Business
129,Rebecca Lindsey,Small Business
130,Brooke Lancaster,Small Business
131,Stacy Gould,Home Office
132,Kerry Green,Corporate
133,Frances Jackson,Corporate
134,Rodney Field,Corporate
135,Norman Adams,Consumer
136,Wesley Reid,Small Business
137,Michael Tanner,Corporate
138,Alison Stewart,Home Office
139,Wayne Sutherland,Home Office
140,Don Beard,Corporate
141,Kay Schultz,Small Business
142,Joseph Dawson,Corporate
143,Earl Watts,Consumer
144,Nicole Reid,Corporate
145,John Bray,Corporate
146,Edwin Coley,Corporate
147,Ronald O'Neill,Corporate
148,June Roberts,Consumer
149,Patrick Adcock,Small Business
150,Sam Woodward,Small Business
151,Nina Bowles,Corporate
152,Julie Edwards,Consumer
153,Wesley Corbett,Consumer
154,Lynn O'Donnell,Corporate
155,Larry Church,Corporate
156,Rhonda Schroeder,Consumer
157,Paige Jacobs,Consumer
158,Helen Simpson,Consumer
159,Sherri P Stephens,Home Office
160,Ralph Woods Scott,Consumer
161,Jeff Spivey,Home Office
162,Marlene Kirk,Consumer
163,Charlotte Patterson,Consumer
164,Miriam Greenberg,Consumer
165,Miriam Greenberg,Corporate
166,Ray Oakley,Consumer
167,Derek Jernigan,Home Office
168,Danielle Schneider,Consumer
169,Ian Hall,Consumer
170,Kate Peck,Corporate
171,Vincent Hale,Corporate
172,Stacey Lucas,Corporate
173,Suzanne Cochran,Corporate
174,Melanie Burgess,Consumer
175,Maureen Herbert Hood,Home Office
176,Maureen Herbert Hood,Consumer
177,William Crawford,Corporate
178,Scott Moore,Home Office
179,Diana Coble Hubbard,Corporate
180,Diana Coble Hubbard,Home Office
181,Franklin Spencer,Corporate
182,Ted Crowder,Consumer
183,Sean Burton,Home Office
184,Carolyn Hoffman,Small Business
185,Robert Brantley,Consumer
186,Sherri F Vogel,Consumer
187,Lynda Rosenthal,Home Office
188,Wayne Bean,Corporate
189,Cathy Simon,Home Office
190,Lindsay O'Connell,Corporate
191,Eileen Schwartz,Corporate
192,Marianne Carey,Corporate
193,Kelly Collins,Corporate
194,Victor Cherry,Corporate
195,Malcolm S Lanier,Corporate
196,Evan Kelley,Consumer
197,Leigh Burnette Hurley,Corporate
198,Alfred Barber,Corporate
199,Jack Hatcher,Home Office
200,Joyce Kern,Home Office
201,Mary Hewitt,Home Office
202,Philip Hawkins,Home Office
203,Jon Kendall,Corporate
204,Melinda Rogers,Corporate
205,Tom Hoyle Honeycutt,Home Office
206,Wesley Field,Corporate
207,Joanne Spivey,Corporate
208,Marvin Patrick,Home Office
209,David Hoyle,Small Business
210,Laurie Howe,Home Office
211,Eddie Walker,Home Office
212,Oscar Ford,Home Office
213,Oscar Ford,Consumer
214,Bobby Powell,Consumer
215,Helen Dickerson,Corporate
216,James Davenport,Corporate
217,Brandon Beach,Corporate
218,Brett Ingram,Corporate
219,Debra Block,Corporate
220,Marlene Harrison,Corporate
221,Monica Harvey,Home Office
222,Jimmy Waters,Home Office
223,Nancy Holden,Home Office
224,Ryan Herman,Home Office
225,Glen Robertson,Home Office
226,Glen Robertson,Corporate
227,Pat Kinney,Small Business
228,Kara Foster,Home Office
229,Megan Woods,Small Business
230,Stephanie Hawkins,Consumer
231,Stephanie Hawkins,Small Business
232,Stephanie Hawkins,Home Office
233,Gordon Boswell,Home Office
234,Marvin Parrott,Corporate
235,Mildred Briggs,Small Business
236,Lisa Branch,Small Business
237,Julian F Wolfe,Corporate
238,Arlene Wiggins Dalton,Home Office
239,Nicholas Wallace,Home Office
240,Dorothy Holt,Small Business
241,John Merritt,Corporate
242,Kimberly Reilly,Home Office
243,Lindsay Tate,Consumer
244,Debra P May,Consumer
245,Judith Shepherd,Home Office
246,Melanie Morrow,Consumer
247,Tonya Miller,Home Office
248,Yvonne Collier,Home Office
249,Troy Casey,Home Office
250,Gilbert Godfrey,Corporate
251,Ricky Sanders,Home Office
252,Geoffrey Koch,Corporate
253,Kevin Smith,Small Business
254,Toni Owens Poe,Home Office
255,Shawn Meyer,Home Office
256,Virginia McNeill,Home Office
257,Karl Knowles,Home Office
258,Karen Warren,Home Office
259,Wendy Pridgen Pearce,Home Office
260,Seth Matthews,Home Office
261,Eugene H Walsh,Home Office
262,Laurence Hull,Corporate
263,Gerald Crabtree,Corporate
264,Brandon E Shepherd,Corporate
265,Danielle P Rao,Corporate
266,Betsy Puckett,Small Business
267,Leo Kane,Consumer
268,Carlos Hanson,Corporate
269,Carlos Hanson,Home Office
270,Lynda Banks,Corporate
271,Becky Farmer,Corporate
272,Caroline Stone,Consumer
273,Theodore Rubin,Consumer
274,Dawn Larson,Corporate
275,Connie Bunn,Corporate
276,Harry Burns,Corporate
